"filename", "language", "TypeScript", "JSON", "YAML", "Handlebars", "Markdown", "SCSS", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\PublisherProfile\PublisherProfile.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 442, 0, 0, 0, 2, 19, 463
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\PublisherProfile\_publisherProfile.scss", "SCSS", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\UserProfile\UserProfile.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 630, 0, 0, 0, 11, 20, 661
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\UserProfile\_userProfile.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\_profile.scss", "SCSS", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 12, 70
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Registration\RegSectionI\RegSectionI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Registration\RegSectionI\_regSectionI.scss", "SCSS", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Registration\Registration.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 12, 15, 243
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Registration\_registration.scss", "SCSS", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ScriptsPage\Admin\AdminScriptPage.como.js", "JavaScript", 0, 0, 0, 0, 0, 0, 410, 0, 0, 0, 12, 11, 433
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ScriptsPage\Admin\_adminScriptPage.scss", "SCSS", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 6, 44
